# code,name,lat,lon,apt,type,country code
LLEEO, N/A, 41.84241666666667, -82.62305833333333, N/A, REP-PT, US
LLEXI, N/A, 32.88455555555556, -80.15761111111112, N/A, P, US
LLIPS, N/A, 30.666936111111113, -81.37174444444443, N/A, REP-PT, US
LLMAR, N/A, 59.51647777777778, -140.2040722222222, N/A, REP-PT, US
LLMER, N/A, 26.389166666666664, -81.92111111111112, N/A, P, US
LLN, N/A, 33.55567611111111, -102.37521777777778, N/A, NDB, US
LLNCH, N/A, 27.43546388888889, -80.69568333333333, N/A, REP-PT, US
LLNCH, N/A, 27.435472222222224, -80.69569444444444, N/A, R, US
LLO, N/A, 30.796341944444446, -98.78738861111111, N/A, VORTAC, US
LLOID, N/A, 33.93055555555555, -118.73452777777779, N/A, P, US
LLOYD, N/A, 30.554297222222225, -84.10160833333333, N/A, REP-PT, US
LLU, N/A, 37.4869925, -94.31022666666667, N/A, NDB, US
LLUND, N/A, 40.86251111111111, -73.78258333333333, N/A, REP-PT, US
LLW, N/A, 36.262996666666666, -76.29803333333334, N/A, NDB, US
LLX, N/A, 44.5042225, -72.02926277777777, N/A, NDB, US
LM, N/A, 38.800329166666664, -90.47474916666667, N/A, NDB, US
LMBRT, N/A, 40.309777777777775, -79.82938888888889, N/A, P, US
LMFRY, N/A, 44.37072222222222, -91.85047222222222, N/A, R, US
LMM, N/A, 25.665, -109.065, N/A, VOR/DME, US
LMM, N/A, 25.816666666666666, -108.98333333333333, N/A, NDB, US
LMN, N/A, 40.59674638888889, -93.96759527777778, N/A, VORTAC, US
LMN, N/A, 40.59675, -93.96758333333334, N/A, NW, US
LMORE, N/A, 26.61088888888889, -80.42425, N/A, P, US
LMPEE, N/A, 61.38397222222222, -149.97522222222221, N/A, P, US
LMPRY, N/A, 40.88491666666667, -102.80538888888888, N/A, P, US
LMT, N/A, 42.153146388888885, -121.72752305555555, N/A, VORTAC, US
LMT, N/A, 42.15613888888889, -121.73319444444445, N/A, NA, US
LN, N/A, 40.74718638888889, -96.76242916666666, N/A, NDB, US
LNBRG, N/A, 20.63863333333333, -155.93373055555557, N/A, RNAV, US
LNC, N/A, 32.57761111111112, -96.7175, N/A, NA, US
LNDHY, N/A, 21.17361111111111, -156.125, N/A, P, US
LNH, N/A, 32.89463888888889, -81.96693333333333, N/A, NDB, US
LNK, N/A, 40.92379388888889, -96.74200972222222, N/A, VORTAC, US
LNL, N/A, 46.149745, -89.21044666666667, N/A, NDB, US
LNNDA, N/A, 37.48222222222223, -120.44416666666667, N/A, R, US
LNR, N/A, 43.294402777777776, -90.1331461111111, N/A, VOR/DME, US
LNSAY, N/A, 33.146166666666666, -117.48558333333334, N/A, R, US
LNT, N/A, 45.64858805555556, -68.55033333333333, N/A, NDB, US
LNY, N/A, 20.7645, -156.9688888888889, N/A, VORTAC, US
LO, N/A, 44.57542416666667, -111.19755722222223, N/A, NDB, US
LOA, N/A, 31.1240175, -95.9679561111111, N/A, VORTAC, US
LOA, N/A, 31.12402777777778, -95.96794444444444, N/A, NW, US
LOADD, N/A, 39.41013888888889, -104.58816666666667, N/A, P, US
LOAFR, N/A, 44.46952777777778, -92.97994444444444, N/A, R, US
LOAFS, N/A, 34.397925, -80.79018888888889, N/A, REP-PT, US
LOAMS, N/A, 45.56310277777777, -119.60096944444444, N/A, REP-PT, US
LOAMY, N/A, 40.424527777777776, -91.78438888888888, N/A, R, US
LOAMY, N/A, 40.424530555555556, -91.7844, N/A, REP-PT, US
LOAPP, N/A, 40.82377777777778, -112.10038888888889, N/A, P, US
LOATH, N/A, 46.011652777777776, -123.06084444444444, N/A, REP-PT, US
LOBBS, N/A, 33.908855555555554, -87.42724722222222, N/A, REP-PT, US
LOBBY, N/A, 42.504305555555554, -71.60944444444443, N/A, R, US
LOBBY, N/A, 42.50431388888889, -71.60945555555556, N/A, REP-PT, US
LOBOE, N/A, 35.262325, -96.70082500000001, N/A, REP-PT, US
LOCAS, N/A, 35.201438888888894, -80.44580277777779, N/A, REP-PT, US
LOCEN, N/A, 42.507913888888886, -88.9381638888889, N/A, REP-PT, US
LOCIS, N/A, 46.42686944444444, -112.20466944444445, N/A, REP-PT, US
LOCKD, N/A, 39.30672222222222, -104.77905555555556, N/A, P, US
LOCKE, N/A, 37.7135, -121.50961111111111, N/A, R, US
LOCKS, N/A, 34.92771944444444, -81.29241388888889, N/A, REP-PT, US
LOCOE, N/A, 27.305069444444445, -97.59958333333333, N/A, REP-PT, US
LOCUS, N/A, 33.54866944444444, -92.6296111111111, N/A, REP-PT, US
LODDI, N/A, 38.06668333333334, -121.31583888888889, N/A, REP-PT, US
LODDI, N/A, 38.06669444444445, -121.31583333333333, N/A, R, US
LODGE, N/A, 40.14326666666667, -88.52627777777778, N/A, REP-PT, US
LODIY, N/A, 42.777522222222224, -78.86471944444443, N/A, REP-PT, US
LODLL, N/A, 38.807249999999996, -84.38005555555554, N/A, R, US
LODOE, N/A, 40.08325000000001, -104.943, N/A, P, US
LODUY, N/A, 39.46738888888889, -112.05691666666667, N/A, R, US
LOFAL, N/A, 47.851552777777776, -122.68051666666668, N/A, REP-PT, US
LOFAL, N/A, 47.85155555555556, -122.68052777777778, N/A, R, US
LOFOG, N/A, 40.69325, -111.40647222222223, N/A, P, US
LOFTY, N/A, 39.48363333333334, -89.97358888888888, N/A, REP-PT, US
LOG, N/A, -14.35375, -170.74894444444442, N/A, NDB, US
LOGEC, N/A, 34.046, -84.16052777777779, N/A, P, US
LOGEN, N/A, 33.98805, -84.05678611111111, N/A, REP-PT, US
LOGIC, N/A, 37.88411388888889, -84.033825, N/A, REP-PT, US
LOGIF, N/A, 45.34245, -87.48178333333334, N/A, REP-PT, US
LOGOS, N/A, 40.69593888888888, -90.17444444444445, N/A, REP-PT, US
LOHNI, N/A, 35.033138888888885, -89.07, N/A, P, US
LOIRN, N/A, 33.01144444444444, -79.72316666666667, N/A, P, US
LOJOV, N/A, 38.08945, -92.838875, N/A, REP-PT, US
LOKIE, N/A, 21.12396111111111, -157.34505000000001, N/A, REP-PT, US
LOKIE, N/A, 21.12397222222222, -157.34505555555558, N/A, R, US
LOLIC, N/A, 39.71831944444445, -112.4678888888889, N/A, REP-PT, US
LOLLO, N/A, 46.845600000000005, -114.43651944444444, N/A, REP-PT, US
LOLLY, N/A, 41.3855, -74.06347222222222, N/A, R, US
LOMAC, N/A, 36.45117777777778, -96.07653888888889, N/A, REP-PT, US
LOMBO, N/A, 39.95838888888889, -121.67819444444444, N/A, R, US
LOMEZ, N/A, 42.08947222222223, -87.13755555555556, N/A, P, US
LOMIA, N/A, 39.219880555555555, -119.106375, N/A, RNAV, US
LOMMA, N/A, 39.28080555555555, -108.81122222222221, N/A, R, US
LOMMA, N/A, 39.28081666666667, -108.8112111111111, N/A, REP-PT, US
LOMON, N/A, 40.308055555555555, -77.48341666666667, N/A, R, US
LOMON, N/A, 40.30806666666666, -77.48340277777778, N/A, REP-PT, US
LONEY, N/A, 42.495472222222226, -70.02030555555555, N/A, P, US
LONGS, N/A, 39.72963888888889, -104.84127777777778, N/A, P, US
LONNI, N/A, 26.383730555555555, -79.976525, N/A, REP-PT, US
LONNS, N/A, 34.53747222222222, -92.82489166666666, N/A, REP-PT, US
LONOK, N/A, 52.151805555555555, -175.5486138888889, N/A, REP-PT, US
LOONE, N/A, 37.737341666666666, -86.75500555555556, N/A, REP-PT, US
LOONR, N/A, 35.14208333333333, -90.17169444444446, N/A, R, US
LOONS, N/A, 39.507777777777775, -80.12242499999999, N/A, REP-PT, US
LOOOK, N/A, 39.63861111111111, -104.93133333333334, N/A, P, US
LOOON, N/A, 44.98202777777778, -92.71130555555555, N/A, R, US
LOOOU, N/A, 28.493055555555557, -80.30527777777777, N/A, P, US
LOOSY, N/A, 33.309555555555555, -112.10108333333332, N/A, P, US
LOOTH, N/A, 41.503166666666665, -87.35897222222222, N/A, P, US
LOPEC, N/A, 38.092666666666666, -106.85922222222221, N/A, R, US
LOPES, N/A, 35.03180555555556, -118.70141666666667, N/A, R, US
LOPES, N/A, 35.03181388888889, -118.70140277777779, N/A, REP-PT, US
LOPEY, N/A, 31.92710277777778, -102.40479166666667, N/A, REP-PT, US
LOPEZ, N/A, 41.44324444444444, -75.96170000000001, N/A, REP-PT, US
LOPJA, N/A, 45.248961111111115, -87.91283333333334, N/A, REP-PT, US
LOPPY, N/A, 35.70063888888889, -88.81405555555556, N/A, P, US
LOPYU, N/A, 39.20491388888889, -85.37738888888889, N/A, REP-PT, US
LOR, N/A, 31.361670833333335, -85.74344555555555, N/A, NDB, US
LORAN, N/A, 32.43731388888889, -100.65335833333334, N/A, REP-PT, US
LORAT, N/A, 35.14427777777778, -107.27813888888889, N/A, R, US
LORAT, N/A, 35.14428888888889, -107.27814444444445, N/A, REP-PT, US
LORES, N/A, 39.97391944444445, -81.44326666666667, N/A, REP-PT, US
LORET, N/A, 20.99081388888889, -156.69139444444446, N/A, REP-PT, US
LORIN, N/A, 40.52118611111111, -107.08635, N/A, REP-PT, US
LORIW, N/A, 45.352072222222226, -84.9242138888889, N/A, REP-PT, US
LORLE, N/A, 39.30633333333333, -90.83863888888888, N/A, R, US
LORRE, N/A, 29.326083333333333, -97.47586111111112, N/A, R, US
LORRY, N/A, 34.97516388888889, -79.11081388888888, N/A, REP-PT, US
LORTH, N/A, 43.129980555555555, -77.31814444444444, N/A, REP-PT, US
LORZO, N/A, 36.53814166666667, -77.83618055555556, N/A, REP-PT, US
LOSBY, N/A, 26.771694444444442, -81.89816666666667, N/A, P, US
LOSTT, N/A, 48.194916666666664, -120.24855555555555, N/A, R, US
LOTTA, N/A, 31.141199999999998, -96.84794166666666, N/A, REP-PT, US
LOTTE, N/A, 41.935525, -90.55688611111111, N/A, REP-PT, US
LOTTO, N/A, 40.300327777777774, -89.74041944444444, N/A, REP-PT, US
LOTTS, N/A, 32.33656666666667, -81.85511666666666, N/A, REP-PT, US
LOUIE, N/A, 38.61231388888889, -76.30121388888888, N/A, REP-PT, US
LOULO, N/A, 28.783683333333336, -81.90077500000001, N/A, REP-PT, US
LOULU, N/A, 38.89533333333333, -77.71105555555556, N/A, P, US
LOVAZ, N/A, 30.65883333333333, -95.50103888888889, N/A, REP-PT, US
LOVAZ, N/A, 30.65883333333333, -95.50102777777778, N/A, R, US
LOVES, N/A, 41.538777777777774, -73.48808333333334, N/A, R, US
LOVES, N/A, 41.53878888888889, -73.48809444444444, N/A, REP-PT, US
LOVEY, N/A, 39.213547222222225, -85.40862222222223, N/A, REP-PT, US
LOVEY, N/A, 39.21355555555556, -85.40861111111111, N/A, R, US
LOWBO, N/A, 35.42261111111111, -107.36033333333333, N/A, P, US
LOWGN, N/A, 33.45075, -97.24980555555555, N/A, R, US
LOWGO, N/A, 31.434019444444445, -102.02217222222222, N/A, REP-PT, US
LOWMA, N/A, 32.65463888888889, -117.26827777777778, N/A, P, US
LOWRE, N/A, 39.68883333333333, -104.85633333333332, N/A, P, US
LOXLY, N/A, 30.76183888888889, -87.79891944444444, N/A, REP-PT, US
LOXXE, N/A, 42.574875000000006, -75.72596944444444, N/A, REP-PT, US
LOYYI, N/A, 35.365519444444445, -86.81796666666666, N/A, REP-PT, US
LOZ, N/A, 37.033138888888885, -84.11008333333332, N/A, NW, US
LOZ, N/A, 37.03315027777778, -84.11007472222222, N/A, VORTAC, US
LOZIT, N/A, 37.89933333333333, -122.67319444444445, N/A, R, US
LOZUL, N/A, 38.80542222222222, -106.10416111111111, N/A, REP-PT, US
LPORT, N/A, 40.58226388888889, -104.95206666666667, N/A, REP-PT, US
LQ, N/A, 39.912014444444445, -89.60306694444444, N/A, NDB, US
LQ, N/A, 42.452040833333335, -70.96329944444444, N/A, NDB, US
LQK, N/A, 34.8112175, -82.70351694444444, N/A, NDB, US
LQL, N/A, 41.682404166666664, -81.37900416666666, N/A, NDB, US
LQR, N/A, 38.204366944444445, -99.08790833333333, N/A, NDB, US
LRAIN, N/A, 36.517830555555555, -110.58665277777777, N/A, REP-PT, US
LRAIN, N/A, 36.517833333333336, -110.58666666666666, N/A, R, US
LRD, N/A, 27.47873722222222, -99.4176788888889, N/A, VORTAC, US
LRD, N/A, 27.478749999999998, -99.41766666666668, N/A, NW, US
LRF, N/A, 34.91806666666666, -92.15766666666667, N/A, TACAN, US
LRP, N/A, 40.11997222222222, -76.29130555555555, N/A, NW, US
LRP, N/A, 40.119975555555556, -76.29129527777778, N/A, VORTAC, US
LRR, N/A, 30.641221944444442, -92.68915694444445, N/A, NDB, US
LRS, N/A, 11.944666666666667, -66.67125, N/A, VOR/DME, US
LRT, N/A, 35.23553916666667, -87.26065972222223, N/A, NDB, US
LS00, N/A, 30.675462777777778, -91.11427277777777, N/A, AIRPORT, US
LS01, N/A, 29.6293775, -90.94592944444445, N/A, AIRPORT, US
LS02, N/A, 30.46628888888889, -90.46203055555556, N/A, AIRPORT, US
LS06, N/A, 30.683241388888888, -91.46122416666667, N/A, AIRPORT, US
LS07, N/A, 32.480555555555554, -93.76222222222222, N/A, AIRPORT, US
LS08, N/A, 29.354139999999997, -89.43591, N/A, AIRPORT, US
LS10, N/A, 30.27214861111111, -93.31182222222222, N/A, AIRPORT, US
LS11, N/A, 32.15348638888889, -91.84373972222222, N/A, AIRPORT, US
LS12, N/A, 29.314111111111114, -89.61422777777777, N/A, AIRPORT, US
LS13, N/A, 30.347944444444447, -92.04119444444444, N/A, AIRPORT, US
LS14, N/A, 30.07104222222222, -92.82514722222223, N/A, AIRPORT, US
LS16, N/A, 32.011268333333334, -91.75512694444444, N/A, AIRPORT, US
LS17, N/A, 30.066032777777774, -89.6189436111111, N/A, AIRPORT, US
LS18, N/A, 30.221040277777778, -92.77486638888888, N/A, AIRPORT, US
LS19, N/A, 29.25050388888889, -90.66230999999999, N/A, AIRPORT, US
LS22, N/A, 30.83184888888889, -90.66620833333333, N/A, AIRPORT, US
LS23, N/A, 30.153813055555556, -92.045955, N/A, AIRPORT, US
LS24, N/A, 29.92520472222222, -90.09340583333334, N/A, AIRPORT, US
LS25, N/A, 30.70462861111111, -91.06066027777777, N/A, AIRPORT, US
LS27, N/A, 31.301666666666666, -92.45027777777777, N/A, AIRPORT, US
LS28, N/A, 29.378554722222223, -89.85451361111112, N/A, AIRPORT, US
LS30, N/A, 32.4543125, -92.10846777777778, N/A, AIRPORT, US
LS31, N/A, 29.601494444444445, -92.260075, N/A, AIRPORT, US
LS34, N/A, 30.306697222222223, -91.87639444444444, N/A, AIRPORT, US
LS35, N/A, 30.76252777777778, -91.27725, N/A, AIRPORT, US
LS36, N/A, 30.250208333333333, -92.97198333333334, N/A, AIRPORT, US
LS37, N/A, 30.229927777777778, -93.36876694444445, N/A, AIRPORT, US
LS38, N/A, 30.013055555555557, -91.86916666666667, N/A, AIRPORT, US
LS39, N/A, 30.58935361111111, -90.98454694444445, N/A, AIRPORT, US
LS40, N/A, 29.951944444444443, -90.28611111111111, N/A, AIRPORT, US
LS41, N/A, 32.56706666666667, -93.87889999999999, N/A, AIRPORT, US
LS42, N/A, 30.226870277777778, -92.36374222222223, N/A, AIRPORT, US
LS45, N/A, 29.985481666666665, -90.46730583333333, N/A, AIRPORT, US
LS46, N/A, 31.45850861111111, -91.82290277777778, N/A, AIRPORT, US
LS47, N/A, 29.662709166666666, -91.12843444444445, N/A, AIRPORT, US
LS48, N/A, 29.957146388888887, -91.03371027777779, N/A, AIRPORT, US
LS51, N/A, 30.286860555555556, -89.7406175, N/A, AIRPORT, US
LS52, N/A, 29.28744222222222, -89.36783166666667, N/A, AIRPORT, US
LS53, N/A, 30.681863611111112, -92.26595972222222, N/A, AIRPORT, US
LS54, N/A, 30.69185138888889, -91.18760777777777, N/A, AIRPORT, US
LS55, N/A, 30.2312, -91.05160000000001, N/A, AIRPORT, US
LS56, N/A, 29.336613055555556, -89.98423861111111, N/A, AIRPORT, US
LS57, N/A, 30.071506944444444, -90.51544694444445, N/A, AIRPORT, US
LS58, N/A, 30.180207222222222, -93.25209833333334, N/A, AIRPORT, US
LS60, N/A, 30.25130638888889, -91.08649222222222, N/A, AIRPORT, US
LS64, N/A, 29.688541944444445, -90.98731944444444, N/A, AIRPORT, US
LS66, N/A, 29.97020388888889, -90.20340888888889, N/A, AIRPORT, US
LS67, N/A, 31.144075833333332, -92.06151333333332, N/A, AIRPORT, US
LS68, N/A, 29.934651666666667, -92.21346111111112, N/A, AIRPORT, US
LS69, N/A, 32.643480555555556, -93.66239916666666, N/A, AIRPORT, US
LS71, N/A, 29.727988611111112, -90.59425361111111, N/A, AIRPORT, US
LS72, N/A, 30.202984999999998, -92.81208972222223, N/A, AIRPORT, US
LS73, N/A, 29.863261666666666, -89.96784666666667, N/A, AIRPORT, US
LS74, N/A, 30.2268725, -93.19987555555556, N/A, AIRPORT, US
LS75, N/A, 29.819386944444446, -93.33987611111111, N/A, AIRPORT, US
LS76, N/A, 30.4626925, -90.17007944444445, N/A, AIRPORT, US
LS77, N/A, 30.727100555555555, -91.14855138888888, N/A, AIRPORT, US
LS78, N/A, 32.48626388888889, -93.77795722222223, N/A, AIRPORT, US
LS79, N/A, 31.861276944444445, -92.27597166666668, N/A, AIRPORT, US
LS80, N/A, 30.434091111111112, -92.87542555555555, N/A, AIRPORT, US
LS81, N/A, 30.114375555555554, -93.21209777777779, N/A, AIRPORT, US
LS83, N/A, 32.06265472222222, -91.25427944444445, N/A, AIRPORT, US
LS84, N/A, 29.216060833333334, -90.21591111111113, N/A, AIRPORT, US
LS85, N/A, 30.012702500000003, -90.180075, N/A, AIRPORT, US
LS86, N/A, 30.681944444444444, -90.41925638888888, N/A, AIRPORT, US
LS89, N/A, 30.946666666666665, -91.475, N/A, AIRPORT, US
LS91, N/A, 30.41722222222222, -91.97361111111111, N/A, AIRPORT, US
LS92, N/A, 30.597411388888887, -90.31591888888889, N/A, AIRPORT, US
LS93, N/A, 29.6107675, -90.89842805555556, N/A, AIRPORT, US
LS94, N/A, 30.533055555555556, -91.75011388888888, N/A, AIRPORT, US
LS95, N/A, 30.979357222222223, -92.58708444444444, N/A, AIRPORT, US
LS96, N/A, 29.967583333333334, -90.14305555555555, N/A, AIRPORT, US
LS97, N/A, 29.929649722222223, -90.35396888888889, N/A, AIRPORT, US
LS98, N/A, 31.560729444444444, -93.47211944444444, N/A, AIRPORT, US
LS99, N/A, 29.116558333333334, -90.204725, N/A, AIRPORT, US
LSA, N/A, 32.75843277777778, -101.91608166666667, N/A, NDB, US
LSE, N/A, 43.87612388888889, -91.25599333333334, N/A, VOR/DME, US
LSF, N/A, 32.332369722222225, -84.99326361111112, N/A, VOR/DME, US
LSO, N/A, 46.15547222222222, -122.91263888888889, N/A, NDB, US
LSV, N/A, 36.244658333333334, -115.02508055555556, N/A, TACAN, US
LTJ, N/A, 45.71358333333334, -121.10083333333333, N/A, VOR/DME, US
LTOUR, N/A, 42.849361111111115, -84.91830555555556, N/A, R, US
LTOWN, N/A, 35.51211111111111, -89.35172222222222, N/A, R, US
LTS, N/A, 34.662925, -99.27116388888889, N/A, VORTAC, US
LTU, N/A, 43.12703861111111, -95.13280777777777, N/A, NDB, US
LTY, N/A, 48.50805555555556, -110.98083333333334, N/A, NDB, US
LU, N/A, 49.021236944444446, -122.04958916666666, N/A, NDB, US
LUA, N/A, 38.69956222222222, -78.47167472222222, N/A, NDB, US
LUANN, N/A, 42.5256, -89.45751666666666, N/A, REP-PT, US
LUCAB, N/A, 36.01685277777778, -120.96245277777778, N/A, REP-PT, US
LUCCA, N/A, 40.79881944444444, -79.3144361111111, N/A, REP-PT, US
LUCEN, N/A, 32.40387777777778, -93.77963888888888, N/A, REP-PT, US
LUCER, N/A, 34.48546944444445, -116.84514166666666, N/A, REP-PT, US
LUCIT, N/A, 41.23234166666667, -87.42372222222222, N/A, REP-PT, US
LUCKE, N/A, 39.22465555555556, -77.59780277777777, N/A, REP-PT, US
LUCKI, N/A, 32.7075, -116.81805555555555, N/A, P, US
LUCKK, N/A, 32.30036111111111, -84.4081388888889, N/A, P, US
LUCKY, N/A, 36.03876111111111, -115.84585833333333, N/A, REP-PT, US
LUCLI, N/A, 37.522891666666666, -79.31423333333333, N/A, REP-PT, US
LUCSS, N/A, 24.96908333333333, -78.60672222222222, N/A, R, US
LUDIC, N/A, 43.55875555555555, -111.56886666666666, N/A, REP-PT, US
LUDLO, N/A, 40.38812222222222, -88.204025, N/A, REP-PT, US
LUEGO, N/A, 34.48455555555556, -106.72841666666667, N/A, P, US
LUF, N/A, 33.537683333333334, -112.38021111111111, N/A, TACAN, US
LUFFS, N/A, 29.665244444444443, -91.03952777777778, N/A, REP-PT, US
LUFSE, N/A, 39.213772222222225, -104.38434444444445, N/A, REP-PT, US
LUFSE, N/A, 39.21377777777778, -104.38433333333334, N/A, R, US
LUG, N/A, 35.500503888888886, -86.80973527777778, N/A, NDB, US
LUGGS, N/A, 43.05468611111111, -84.44291111111112, N/A, REP-PT, US
LUGOH, N/A, 34.69636111111111, -89.16458333333334, N/A, R, US
LUIGI, N/A, 40.06934722222223, -74.44453333333334, N/A, REP-PT, US
LUISE, N/A, 39.574275, -80.69851111111112, N/A, REP-PT, US
LUISS, N/A, 38.219575, -106.23940833333333, N/A, REP-PT, US
LUK, N/A, 39.1596725, -84.34127416666666, N/A, NDB, US
LUKES, N/A, 34.030875, -82.15737222222222, N/A, REP-PT, US
LUKES, N/A, 34.03088888888889, -82.15736111111111, N/A, R, US
LUKIY, N/A, 32.32427777777778, -97.49647222222222, N/A, R, US
LUKKY, N/A, 36.13088611111111, -91.5389, N/A, RNAV, US
LULEW, N/A, 30.171886111111114, -91.68582777777779, N/A, REP-PT, US
LULOU, N/A, 37.38027777777778, -86.60713888888888, N/A, P, US
LUMPP, N/A, 32.04115833333333, -84.58213888888889, N/A, REP-PT, US
LUMXU, N/A, 36.07492777777778, -90.27642222222222, N/A, REP-PT, US
LUNDI, N/A, 42.691111111111105, -111.86925, N/A, R, US
LUNDI, N/A, 42.69112222222222, -111.8692361111111, N/A, REP-PT, US
LUNDY, N/A, 39.660944444444446, -79.09294444444444, N/A, R, US
LUNEY, N/A, 39.97094444444445, -87.69373333333334, N/A, REP-PT, US
LUPCE, N/A, 39.24330555555556, -87.31041666666667, N/A, R, US
LUPCE, N/A, 39.243316666666665, -87.31041666666667, N/A, REP-PT, US
LUPCI, N/A, 43.14893055555555, -124.18056944444444, N/A, REP-PT, US
LUPTN, N/A, 39.99733333333334, -103.92272222222223, N/A, P, US
LUR, N/A, 68.87115, -166.07642222222222, N/A, NDB/DME, US
LURAY, N/A, 38.598594444444444, -78.56673055555555, N/A, REP-PT, US
LURCH, N/A, 42.899344444444445, -71.80651944444445, N/A, REP-PT, US
LUREX, N/A, 37.18348888888889, -95.654525, N/A, REP-PT, US
LURGE, N/A, 31.807413888888888, -83.08937499999999, N/A, REP-PT, US
LURIC, N/A, 31.781755555555556, -93.93495833333334, N/A, REP-PT, US
LURRL, N/A, 39.07527777777778, -76.8275, N/A, P, US
LUSEY, N/A, 45.28253333333333, -123.078375, N/A, REP-PT, US
LUSLY, N/A, 39.696752777777775, -88.58185555555555, N/A, REP-PT, US
LUTHR, N/A, 33.13461111111111, -80.21655555555556, N/A, R, US
LUUBE, N/A, 38.702333333333335, -90.29305555555555, N/A, P, US
LUUKE, N/A, 38.178916666666666, -85.90061111111112, N/A, P, US
LUVIE, N/A, 33.64630555555556, -84.0363611111111, N/A, R, US
LUVLY, N/A, 25.662388888888888, -80.13880555555556, N/A, R, US
LUVVE, N/A, 37.49736111111111, -122.23105555555556, N/A, R, US
LUXOR, N/A, 36.394888888888886, -114.48041666666667, N/A, R, US
LUYIR, N/A, 38.184675, -92.29696944444444, N/A, REP-PT, US
LV, N/A, 37.69222111111111, -121.68408500000001, N/A, NDB, US
LVD, N/A, 56.46770888888889, -133.08311361111112, N/A, VOR/DME, US
LVD, N/A, 56.46772222222222, -133.0831111111111, N/A, ND, US
LVL, N/A, 36.81803583333334, -77.90296805555556, N/A, VORTAC, US
LVM, N/A, 45.70248166666667, -110.44245166666667, N/A, VOR/DME, US
LVSTA, N/A, 35.019638888888885, -106.81658333333333, N/A, P, US
LVT, N/A, 36.584500000000006, -85.16661111111112, N/A, NW, US
LVT, N/A, 36.58450944444445, -85.16662305555556, N/A, VORTAC, US
LVV, N/A, 42.69883333333333, -88.59316666666666, N/A, NDB, US
LVZ, N/A, 41.2728025, -75.68946777777778, N/A, VORTAC, US
LW, N/A, 37.782176666666665, -80.46843611111112, N/A, NDB, US
LW, N/A, 50.06083333333333, -119.41527777777779, N/A, NDB, US
LWB, N/A, 37.86380194444445, -80.39202722222223, N/A, VOR/DME, US
LWG, N/A, 44.613593333333334, -123.270655, N/A, NDB, US
LWL, N/A, 41.144801666666666, -114.97751138888889, N/A, VOR, US
LWM, N/A, 42.717194444444445, -71.12341666666666, N/A, NA, US
LWM, N/A, 42.74041555555556, -71.09484194444444, N/A, VOR/DME, US
LWOOD, N/A, 36.18066666666667, -79.38155555555555, N/A, P, US
LWT, N/A, 47.052969999999995, -109.60616805555556, N/A, VOR/DME, US
LWV, N/A, 38.769868333333335, -87.6038275, N/A, VOR/DME, US
LXL, N/A, 45.95008805555556, -94.34161194444444, N/A, NDB, US
LXT, N/A, 38.959694444444445, -94.3713611111111, N/A, NA, US
LXY, N/A, 31.639584444444445, -96.51225777777778, N/A, NDB, US
LY, N/A, 37.2624225, -79.24313055555555, N/A, NDB, US
LYDEY, N/A, 34.34388888888889, -118.51722222222222, N/A, P, US
LYDIA, N/A, 44.60816666666667, -93.47894166666667, N/A, REP-PT, US
LYERS, N/A, 42.39555, -92.24996388888889, N/A, REP-PT, US
LYFIE, N/A, 27.610333333333333, -82.38522222222223, N/A, P, US
LYH, N/A, 37.254576944444445, -79.23638055555556, N/A, VORTAC, US
LYI, N/A, 48.30480444444444, -115.49687972222222, N/A, NDB, US
LYLES, N/A, 46.15880833333333, -118.62440555555555, N/A, REP-PT, US
LYMAN, N/A, 41.2898, -94.82831944444445, N/A, REP-PT, US
LYMES, N/A, 39.249575, -94.11260555555555, N/A, REP-PT, US
LYMPS, N/A, 41.41648055555555, -106.05942499999999, N/A, REP-PT, US
LYNDI, N/A, 32.688222222222215, -116.87986111111111, N/A, P, US
LYNKN, N/A, 39.04447222222222, -103.18633333333334, N/A, P, US
LYNKS, N/A, 44.11488888888889, -93.47325000000001, N/A, R, US
LYNNS, N/A, 58.36130555555556, -135.0791111111111, N/A, R, US
LYNSY, N/A, 35.66054166666667, -114.75615277777777, N/A, REP-PT, US
LYNSY, N/A, 35.660555555555554, -114.75616666666667, N/A, R, US
LYNXX, N/A, 34.51244444444445, -118.59497222222221, N/A, R, US
LYO, N/A, 38.347232500000004, -98.22700555555556, N/A, NDB, US
LYRIC, N/A, 57.666311111111106, -135.68305833333332, N/A, REP-PT, US
LYS, N/A, 42.28351722222222, -78.33491416666666, N/A, NDB, US
LYSAN, N/A, 43.21241666666667, -76.51431388888889, N/A, REP-PT, US
LYSSA, N/A, 37.11633333333334, -105.84429722222222, N/A, REP-PT, US
LYSTR, N/A, 43.15156944444444, -87.02805555555555, N/A, REP-PT, US
LYTEL, N/A, 40.93021944444444, -75.87067222222221, N/A, REP-PT, US
LYTNG, N/A, 33.872638888888886, -84.90286111111112, N/A, P, US
LYUNN, N/A, 40.753305555555556, -103.21019444444445, N/A, P, US
LYYTE, N/A, 30.105805555555555, -95.5, N/A, R, US
LYZ, N/A, 30.972716666666663, -84.52602222222222, N/A, NDB, US
LYZZA, N/A, 38.39013333333333, -107.91279166666668, N/A, REP-PT, US
LZARD, N/A, 28.300166666666666, -82.31183333333333, N/A, R, US
LZIRD, N/A, 33.273583333333335, -113.15380555555556, N/A, P, US
