# code,name,lat,lon,apt,type,country code
ADA, , 36.9406, 35.2103, LTAA, High and Low Level, TU
ADA03, , 36.9705, 35.2599, LTAF, Terminal, TU
ADA05, , 36.8914, 35.1262, LTAF, Terminal, TU
ADA08, , 36.8382, 35.1034, LTAF, Terminal, TU
ADA20, , 36.8215, 35.1348, LTAF, Terminal, TU
ADA23, , 36.862, 35.0758, LTAF, Terminal, TU
ADA30, , 36.97, 35.2608, LTAF, Terminal, TU
ADA38, , 36.9412, 35.2094, LTAF, Terminal, TU
ADA39, , 36.9027, 35.1438, LTAF, Terminal, TU
ADA51, , 37.0386, 35.3788, LTAF, Terminal, TU
ADA80, , 36.8601, 35.0775, LTAF, Terminal, TU
ADABA, , 5.6974, 41.9173, HAAA, High and Low Level, ET
ADABE, , 9.5856, 138.2313, PTYA, High and Low Level, FM
ADABI, , 46.5611, 0.5308, LFBB, High and Low Level, FR
ADADA, , 48.295, 2.0036, LFFF, RNAV, FR
ADAGI, , 56.8733, 56.45, USSS, High and Low Level, RS
ADAKA, , 43.7378, 62.8319, UAOO, High and Low Level, KZ
ADAKO, , 45.9753, 2.0969, LFBB, RNAV, FR
ADALU, , 66.1783, 164.155, UHMP, High and Low Level, RS
ADAMI, , 38.7047, 10.9489, LIRR, RNAV, IT
ADAMS, , 49.7982, 11.9333, ETIC, Terminal, GM
ADANB, , 36.9708, 35.2617, LTAA, Terminal, TU
ADANO, , 39.6667, 45.8333, UDDD, High and Low Level, AM
ADAPA, , 52.6867, 108.1133, UIII, High and Low Level, RS
ADAPI, , 50.7584, 45.5981, URWW, High and Low Level, RS
ADARO, , 50.785, 81.8783, UASS, High and Low Level, KZ
ADASA, , 52.7717, 75.2433, UAUA, High and Low Level, KZ
ADASO, , 59.2467, 95.675, UNII, High and Low Level, RS
ADASU, , 36.7511, 31.3889, LTBB, High and Low Level, TU
ADATU, , 45.5372, 2.8256, LFBB, RNAV, FR
ADAXA, , 56.2978, 18.8983, EVVL, RNAV, LG
ADBON, , 0.0, 154.2283, KZAK, High and Low Level, FM
ADDAN, , 26.6368, 128.3483, RODN, Terminal, JA
ADDER, , 40.5211, 20.3128, LAAA, High and Low Level, AL
ADEDI, , 43.1761, -2.1791, LECM, Low Level, SP
ADEKA, , 45.9417, 3.18, LFMM, RNAV, FR
ADEKI, , 41.2967, 46.7489, UBBA, High and Low Level, AJ
ADELU, , 53.4417, -1.5369, EGTT, High and Low Level, UK
ADEMI, , -10.5532, -39.8161, SBRE, RNAV, BR
ADEMI, , 51.4828, 7.8886, EDLL, High and Low Level, GM
ADENU, , 50.0256, 6.9083, EDVV, High and Low Level, GM
ADERI, , 43.9052, 25.067, LRBB, High and Low Level, RO
ADESA, , 42.1611, 69.815, UAII, High and Low Level, KZ
ADESI, , 53.2783, 54.5917, UWOO, High and Low Level, RS
ADESO, , 36.5333, 26.5111, LGGG, RNAV, GR
ADEXI, , 37.3456, 13.0253, LIMM, RNAV, IT
ADGAB, , 3.0956, 112.6008, WBFC, High and Low Level, MY
ADGOR, , 40.4247, 149.6507, RJTG, High and Low Level, JA
ADHAC, , 9.5525, 167.5205, PKRO, Terminal, RM
ADIBO, , 46.4167, 138.6017, UHWW, High and Low Level, RS
ADICT, , 58.6197, -93.9542, CYYQ, Terminal, CA
ADIGA, , 44.5701, 26.3229, LROP, Terminal, RO
ADIKA, , 51.5383, 21.3294, EPWW, Low Level, PL
ADILA, , 39.9967, 45.495, UDDD, High and Low Level, AM
ADILU, , 46.1242, -0.8394, LFRR, RNAV, FR
ADINA, , 32.9347, 70.5964, OPLR, High and Low Level, PK
